accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,pairwise_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_4_rate,selected_generated_5_rate,selected_generated_6_rate,selected_generated_7_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,soft_ce_weight,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,utility_weight,validation_reranker_loss,validation_samples,validation_static_loss
0.6,0.9361,0.422222,4,16,-0.009707,0.0,8,0.6,0.926393,1.0,pairwise,0.926393,1.0,generated_oracle,40,600,400,0.005,,19,0.055556,0.144444,0.066667,0.044444,0.2,0.022222,0.011111,0.033333,0.577778,0.366667,0.0,0.0,0.055556,0.25,generated_6,proximity,90,2048,0.05,0.841722,180,0.878886
0.522222,0.886832,0.377778,4,16,0.082766,0.095586,8,0.666667,0.874012,0.366667,pairwise,0.969598,1.0,static_base_validation_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,generated_5,indexed,90,2048,0.05,0.80804,180,0.891254
0.511111,0.886832,0.0,4,16,0.121339,0.134159,8,0.666667,0.874012,0.0,pairwise,1.008171,1.0,static_generated_validation_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,generated_5,indexed,90,2048,0.05,0.80804,180,0.891254
0.511111,0.886832,0.266667,4,16,0.088164,0.100984,8,0.666667,0.874012,0.322222,pairwise,0.974996,1.0,pairwise_generated_reranker,40,600,400,0.005,,23,0.077778,0.122222,0.055556,0.011111,0.111111,0.011111,0.033333,0.066667,0.488889,0.444444,0.022222,0.0,0.044444,0.25,generated_5,indexed,90,2048,0.05,0.80804,180,0.891254
0.511111,0.886832,0.266667,4,16,0.088164,0.100984,8,0.666667,0.874012,0.322222,pairwise,0.974996,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,23,0.077778,0.122222,0.055556,0.011111,0.111111,0.011111,0.033333,0.066667,0.488889,0.444444,0.022222,0.0,0.044444,0.25,generated_5,indexed,90,2048,0.05,0.80804,180,0.891254
0.655556,0.886832,1.0,4,16,0.0,0.01282,8,0.666667,0.874012,0.477778,pairwise,0.886832,1.0,base_oracle,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377778,0.188889,0.044444,0.388889,0.25,generated_5,indexed,90,2048,0.05,0.80804,180,0.891254
0.666667,0.886832,0.477778,4,16,-0.01282,0.0,8,0.666667,0.874012,1.0,pairwise,0.874012,1.0,generated_oracle,40,600,400,0.005,,23,0.022222,0.177778,0.077778,0.0,0.177778,0.0,0.0,0.066667,0.522222,0.366667,0.0,0.0,0.111111,0.25,generated_5,indexed,90,2048,0.05,0.80804,180,0.891254
0.466667,0.997236,0.377778,4,32,0.027789,0.035596,8,0.522222,0.989428,0.3,pairwise,1.025025,1.0,static_base_validation_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,indexed,indexed,90,2048,0.05,0.945076,180,0.974949
0.466667,0.997236,0.377778,4,32,0.027789,0.035596,8,0.522222,0.989428,0.3,pairwise,1.025025,1.0,static_generated_validation_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,indexed,indexed,90,2048,0.05,0.945076,180,0.974949
0.488889,0.997236,0.166667,4,32,0.021928,0.029735,8,0.522222,0.989428,0.177778,pairwise,1.019164,1.0,pairwise_generated_reranker,40,600,400,0.005,,11,0.077778,0.1,0.088889,0.0,0.144444,0.011111,0.111111,0.066667,0.6,0.177778,0.044444,0.088889,0.088889,0.25,indexed,indexed,90,2048,0.05,0.945076,180,0.974949
