causal_k,dense_beneficial,dense_breaks_sparse,dense_correct,dense_fixes_sparse,dense_loss,dense_needed,dense_regret,event_norm,interaction_density,interaction_mode,mean_pair_distance,min_pair_distance,sample_index,seed,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n
8,0,0,1,0,1.04334557,0,0.09077299,1.71082866,0.23469056,pairwise,0.20086977,0.01030988,65,11,0.38574737,1,0.17606299,1.08498204,0.95257258,0.03042918,0.54149473,0.57414818,0.0,2048
8,1,0,0,0,1.62202358,1,-0.05634224,1.81213617,0.1700177,pairwise,0.19345196,0.05534088,66,11,0.4412221,0,0.2127614,1.04218161,1.67836583,0.069123,0.53676903,0.56986737,0.0,2048
8,1,0,1,0,0.51800781,0,-0.19300145,1.94502151,0.19413488,pairwise,0.19923469,0.03481971,67,11,0.49114826,1,0.29858631,1.0098455,0.71100926,0.14235142,0.53144842,0.90407449,0.0,2048
8,0,0,0,0,1.33723557,0,0.17053998,1.59418356,0.1421601,pairwise,0.22267917,0.03940064,68,11,0.49691054,0,0.16514185,1.02746582,1.16669559,0.18551633,0.54843271,0.64418828,0.0,2048
8,1,0,1,0,0.43606967,0,-0.22325242,1.58595896,0.16691937,pairwise,0.21921621,0.01142681,69,11,0.51720184,1,0.17794791,1.01104891,0.65932208,0.21370232,0.5491451,0.60954714,0.0,2048
8,1,0,1,0,0.58960056,0,-0.1273185,1.88894165,0.12952083,pairwise,0.30015925,0.06911951,70,11,0.48825422,1,0.26512766,1.01578462,0.71691906,0.14312214,0.53334785,0.91738647,0.0,2048
8,0,0,0,0,1.22467494,0,0.17089987,1.9080317,0.15697567,pairwise,0.20928323,0.0479769,71,11,0.48770365,0,0.27490881,1.01379323,1.05377507,0.13908446,0.53267175,0.85612875,0.0,2048
8,1,0,1,0,0.33878562,0,-0.25109169,1.5667088,0.1549529,pairwise,0.20050062,0.00892681,72,11,0.55439532,1,0.17461972,0.97763097,0.58987731,0.26791382,0.55091888,0.6704402,0.0,2048
8,1,0,1,0,0.57335287,0,-0.15338761,1.90264404,0.18744373,pairwise,0.21139149,0.03039074,73,11,0.48348233,1,0.26588812,1.01660883,0.72674048,0.13254052,0.53299552,0.87115586,0.0,2048
8,0,0,0,0,1.41847062,0,0.26086926,1.58759022,0.15368135,pairwise,0.25204372,0.02282708,74,11,0.4911049,0,0.15561448,1.03154576,1.15760136,0.17686582,0.54877055,0.8363111,0.0,2048
8,1,0,1,0,0.33901876,0,-0.25495523,1.56469476,0.15378225,pairwise,0.25395638,0.00764543,75,11,0.55212873,1,0.22366592,0.97955084,0.59397399,0.26411864,0.55158985,0.50764543,0.0,2048
8,1,0,1,1,0.97572303,1,-0.02407575,1.74124527,0.18618385,pairwise,0.23941612,0.00393072,76,11,0.38597018,0,0.20098449,1.08034813,0.99979877,0.01801667,0.54023564,0.49606928,0.0,2048
