accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,generated_candidates,heldout_seed,interaction_mode,loss,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,set_evaluator_steps,test_samples,total_objects_n,train_evaluator_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
0.544444,4,0.934236,16,600,0.0,4,11,pairwise,0.934236,1.0,generated_plus_composition_oracle,40,600,400,11,0.322222,0.011111,0.066667,0.4,0.033333,0.166667,0.055556,0.044444,0.3,0.144444,0.011111,0.011111,0.133333,600,90,2048,0.863935,4,0.912281,180
0.522222,4,0.887223,16,600,0.058605,4,13,pairwise,0.945828,0.0,static_learned_interaction,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.868191,4,0.909903,180
0.511111,4,0.887223,16,600,0.067303,4,13,pairwise,0.954526,0.144444,set_evaluator,40,600,400,13,0.088889,0.033333,0.033333,0.155556,0.044444,0.211111,0.1,0.0,0.355556,0.3,0.022222,0.0,0.166667,600,90,2048,0.868191,4,0.909903,180
0.555556,4,0.887223,16,600,0.0,4,13,pairwise,0.887223,1.0,generated_plus_composition_oracle,40,600,400,13,0.288889,0.044444,0.022222,0.355556,0.033333,0.2,0.044444,0.011111,0.288889,0.177778,0.011111,0.0,0.166667,600,90,2048,0.868191,4,0.909903,180
0.5,4,0.900963,16,600,0.031015,4,17,pairwise,0.931978,0.0,static_learned_interaction,40,600,400,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.865081,4,0.907513,180
0.477778,4,0.900963,16,600,0.03694,4,17,pairwise,0.937902,0.155556,set_evaluator,40,600,400,17,0.044444,0.011111,0.0,0.055556,0.055556,0.177778,0.033333,0.0,0.266667,0.533333,0.022222,0.0,0.122222,600,90,2048,0.865081,4,0.907513,180
0.522222,4,0.900963,16,600,0.0,4,17,pairwise,0.900963,1.0,generated_plus_composition_oracle,40,600,400,17,0.233333,0.044444,0.022222,0.3,0.111111,0.122222,0.066667,0.088889,0.388889,0.2,0.011111,0.0,0.1,600,90,2048,0.865081,4,0.907513,180
0.488889,4,0.929383,16,600,0.043568,4,19,pairwise,0.972951,0.0,static_learned_interaction,40,600,400,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.873129,4,0.923252,180
0.544444,4,0.929383,16,600,0.046086,4,19,pairwise,0.975469,0.077778,set_evaluator,40,600,400,19,0.122222,0.011111,0.066667,0.2,0.055556,0.166667,0.011111,0.011111,0.244444,0.4,0.011111,0.0,0.144444,600,90,2048,0.873129,4,0.923252,180
0.611111,4,0.929383,16,600,0.0,4,19,pairwise,0.929383,1.0,generated_plus_composition_oracle,40,600,400,19,0.211111,0.022222,0.0,0.233333,0.077778,0.177778,0.088889,0.066667,0.411111,0.244444,0.0,0.0,0.111111,600,90,2048,0.873129,4,0.923252,180
0.511111,4,0.875111,16,600,0.133225,4,23,pairwise,1.008336,0.0,static_learned_interaction,40,600,400,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.881451,4,0.920348,180
