accuracy,budget,causal_k,excess_over_generated_oracle,generated_candidates,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,validation_samples,validation_static_base_mode
0.5,4,32,0.039846,4,pairwise,400,1.002818,static_learned_interaction,40,600,19,1.0,2,90,2048,180,proximity
0.511111,4,32,0.04081,4,pairwise,400,1.003782,regret_distilled_retriever,40,600,19,0.855556,0.933333,90,2048,180,proximity
0.5,4,32,0.039846,4,pairwise,400,1.002818,interaction_retrained_reference,40,600,19,1.0,2,90,2048,180,proximity
0.555556,4,32,0.0,4,pairwise,400,0.962972,generated_oracle,40,600,19,0.511111,1.844444,90,2048,180,proximity
0.488889,4,32,0.051761,4,pairwise,400,0.997941,static_validation_base_choice,40,600,23,1.0,2,90,2048,180,learned
0.488889,4,32,0.051666,4,pairwise,400,0.997846,static_interaction,40,600,23,1.0,2,90,2048,180,learned
0.488889,4,32,0.051761,4,pairwise,400,0.997941,static_learned_interaction,40,600,23,1.0,2,90,2048,180,learned
0.555556,4,32,0.041903,4,pairwise,400,0.988083,regret_distilled_retriever,40,600,23,0.755556,0.922222,90,2048,180,learned
0.488889,4,32,0.051761,4,pairwise,400,0.997941,interaction_retrained_reference,40,600,23,1.0,2,90,2048,180,learned
0.7,4,32,0.0,4,pairwise,400,0.94618,generated_oracle,40,600,23,0.533333,1.666667,90,2048,180,learned
