accuracy,budget,causal_k,excess_over_generated_oracle,generated_candidates,heldout_seed,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,train_seed_count,validation_samples_per_seed,validation_static_base_mode
0.466667,4,32,0.030461,4,11,pairwise,400,1.020877,cross_seed_regret_distilled_retriever,40,600,11,0.933333,0.5,90,2048,4,180,indexed
0.477778,4,32,0.034821,4,11,pairwise,400,1.025238,cross_seed_regret_min1_obstacle,40,600,11,0.922222,1.222222,90,2048,4,180,indexed
0.488889,4,32,0.033975,4,11,pairwise,400,1.024391,cross_seed_regret_min2_obstacles,40,600,11,0.922222,2.055556,90,2048,4,180,indexed
0.522222,4,32,0.0,4,11,pairwise,400,0.990416,generated_oracle,40,600,11,0.533333,1.822222,90,2048,4,180,indexed
0.5,4,32,0.032921,4,13,pairwise,400,0.990135,static_validation_base_choice,40,600,13,1.0,0,90,2048,4,180,indexed
0.477778,4,32,0.031961,4,13,pairwise,400,0.989175,static_interaction,40,600,13,1.0,2,90,2048,4,180,indexed
0.466667,4,32,0.031937,4,13,pairwise,400,0.989151,static_learned_interaction,40,600,13,1.0,2,90,2048,4,180,indexed
0.5,4,32,0.030472,4,13,pairwise,400,0.987685,cross_seed_regret_distilled_retriever,40,600,13,0.977778,0.366667,90,2048,4,180,indexed
0.444444,4,32,0.035171,4,13,pairwise,400,0.992385,cross_seed_regret_min1_obstacle,40,600,13,0.977778,1.144444,90,2048,4,180,indexed
0.477778,4,32,0.031784,4,13,pairwise,400,0.988998,cross_seed_regret_min2_obstacles,40,600,13,0.955556,2.011111,90,2048,4,180,indexed
0.566667,4,32,0.0,4,13,pairwise,400,0.957214,generated_oracle,40,600,13,0.588889,1.566667,90,2048,4,180,indexed
0.455556,4,32,0.02005,4,17,pairwise,400,1.006883,static_validation_base_choice,40,600,17,0.333333,2.533333,90,2048,4,180,proximity
0.455556,4,32,0.018945,4,17,pairwise,400,1.005778,static_interaction,40,600,17,1.0,2,90,2048,4,180,proximity
0.455556,4,32,0.019177,4,17,pairwise,400,1.00601,static_learned_interaction,40,600,17,1.0,2,90,2048,4,180,proximity
0.544444,4,32,0.022643,4,17,pairwise,400,1.009476,cross_seed_regret_distilled_retriever,40,600,17,0.922222,0.411111,90,2048,4,180,proximity
0.477778,4,32,0.02136,4,17,pairwise,400,1.008193,cross_seed_regret_min1_obstacle,40,600,17,0.911111,1.2,90,2048,4,180,proximity
0.455556,4,32,0.018498,4,17,pairwise,400,1.005331,cross_seed_regret_min2_obstacles,40,600,17,0.877778,2.066667,90,2048,4,180,proximity
0.544444,4,32,0.0,4,17,pairwise,400,0.986833,generated_oracle,40,600,17,0.733333,1.722222,90,2048,4,180,proximity
0.477778,4,32,0.040186,4,19,pairwise,400,1.003158,static_validation_base_choice,40,600,19,0.3,2.611111,90,2048,4,180,proximity
0.5,4,32,0.04025,4,19,pairwise,400,1.003221,static_interaction,40,600,19,1.0,2,90,2048,4,180,proximity
0.5,4,32,0.039846,4,19,pairwise,400,1.002818,static_learned_interaction,40,600,19,1.0,2,90,2048,4,180,proximity
0.488889,4,32,0.047932,4,19,pairwise,400,1.010904,cross_seed_regret_distilled_retriever,40,600,19,0.977778,0.477778,90,2048,4,180,proximity
0.5,4,32,0.040582,4,19,pairwise,400,1.003554,cross_seed_regret_min1_obstacle,40,600,19,0.977778,1.211111,90,2048,4,180,proximity
0.5,4,32,0.040186,4,19,pairwise,400,1.003158,cross_seed_regret_min2_obstacles,40,600,19,0.966667,2.022222,90,2048,4,180,proximity
0.555556,4,32,0.0,4,19,pairwise,400,0.962972,generated_oracle,40,600,19,0.511111,1.844444,90,2048,4,180,proximity
0.488889,4,32,0.051761,4,23,pairwise,400,0.997941,static_validation_base_choice,40,600,23,1.0,2,90,2048,4,180,learned
0.488889,4,32,0.051666,4,23,pairwise,400,0.997846,static_interaction,40,600,23,1.0,2,90,2048,4,180,learned
0.488889,4,32,0.051761,4,23,pairwise,400,0.997941,static_learned_interaction,40,600,23,1.0,2,90,2048,4,180,learned
0.566667,4,32,0.050989,4,23,pairwise,400,0.99717,cross_seed_regret_distilled_retriever,40,600,23,0.966667,0.555556,90,2048,4,180,learned
0.566667,4,32,0.049817,4,23,pairwise,400,0.995997,cross_seed_regret_min1_obstacle,40,600,23,0.966667,1.211111,90,2048,4,180,learned
0.5,4,32,0.050946,4,23,pairwise,400,0.997127,cross_seed_regret_min2_obstacles,40,600,23,0.966667,2.033333,90,2048,4,180,learned
0.7,4,32,0.0,4,23,pairwise,400,0.94618,generated_oracle,40,600,23,0.533333,1.666667,90,2048,4,180,learned
