accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,context_ablation,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,heldout_seed,interaction_mode,loss,normalized_utility_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_train_seeds,static_mode_from_train_seeds,test_samples,total_objects_n,train_reranker_loss,train_seed_count,train_static_loss,validation_samples_per_seed
0.622222,0.973841,1.0,4,8,no_identity_keep_type,0.0,0.007066,4,0.644444,0.966774,0.555556,19,pairwise,0.973841,0.05,base_oracle,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.5,0.177778,0.022222,0.3,generated_2,interaction,90,2048,0.956963,4,0.984309,180
0.644444,0.973841,0.555556,4,8,no_identity_keep_type,-0.007066,0.0,4,0.644444,0.966774,1.0,19,pairwise,0.966774,0.05,generated_oracle,40,600,400,0.005,,19,0.044444,0.311111,0.044444,0.044444,0.444444,0.444444,0.022222,0.0,0.088889,generated_2,interaction,90,2048,0.956963,4,0.984309,180
0.533333,0.973841,0.177778,4,8,no_identity_no_type,0.028924,0.03599,4,0.644444,0.966774,0.022222,19,pairwise,1.002764,0.05,normalized_cross_seed_static_base_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.956352,4,0.984309,180
0.544444,0.973841,0.0,4,8,no_identity_no_type,0.027033,0.0341,4,0.644444,0.966774,0.044444,19,pairwise,1.000874,0.05,normalized_cross_seed_static_generated_choice,40,600,400,0.005,,19,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.956352,4,0.984309,180
0.522222,0.973841,0.222222,4,8,no_identity_no_type,0.027403,0.034469,4,0.644444,0.966774,0.277778,19,pairwise,1.001243,0.05,normalized_cross_seed_generated_reranker,40,600,400,0.005,,19,0.088889,0.222222,0.1,0.044444,0.455556,0.422222,0.044444,0.011111,0.066667,generated_2,interaction,90,2048,0.956352,4,0.984309,180
0.522222,0.973841,0.222222,4,8,no_identity_no_type,0.027403,0.034469,4,0.644444,0.966774,0.277778,19,pairwise,1.001243,0.05,normalized_cross_seed_margin_safe_reranker,40,600,400,0.005,1,19,0.088889,0.222222,0.1,0.044444,0.455556,0.422222,0.044444,0.011111,0.066667,generated_2,interaction,90,2048,0.956352,4,0.984309,180
0.622222,0.973841,1.0,4,8,no_identity_no_type,0.0,0.007066,4,0.644444,0.966774,0.555556,19,pairwise,0.973841,0.05,base_oracle,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.5,0.177778,0.022222,0.3,generated_2,interaction,90,2048,0.956352,4,0.984309,180
0.644444,0.973841,0.555556,4,8,no_identity_no_type,-0.007066,0.0,4,0.644444,0.966774,1.0,19,pairwise,0.966774,0.05,generated_oracle,40,600,400,0.005,,19,0.044444,0.311111,0.044444,0.044444,0.444444,0.444444,0.022222,0.0,0.088889,generated_2,interaction,90,2048,0.956352,4,0.984309,180
0.544444,0.960229,0.177778,4,8,no_identity_keep_type,0.036391,0.045348,4,0.6,0.951272,0.0,23,pairwise,0.99662,0.05,normalized_cross_seed_static_base_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.950843,4,0.973633,180
0.533333,0.960229,0.0,4,8,no_identity_keep_type,0.036788,0.045745,4,0.6,0.951272,0.055556,23,pairwise,0.997017,0.05,normalized_cross_seed_static_generated_choice,40,600,400,0.005,,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.950843,4,0.973633,180
