accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,generated_candidates,heldout_seed,interaction_mode,learned_generated_candidates,loss,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_generated_0_rate,selected_learned_generated_1_rate,selected_learned_generated_2_rate,selected_learned_generated_3_rate,selected_learned_generated_rate,selected_learned_rate,selected_proximity_rate,set_evaluator_steps,test_samples,total_objects_n,train_evaluator_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
0.533333,4,0.96626,8,600,0.036539,4,19,pairwise,4,1.002799,0.0,static_learned_interaction,40,600,400,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.955645,4,0.984641,180
0.511111,4,0.96626,8,600,0.028887,4,19,pairwise,4,0.995147,0.144444,joint_candidate_generator_evaluator,40,600,400,19,0.1,0.022222,0.022222,0.144444,0.033333,0.188889,0.055556,0.0,0.277778,0.344444,0.033333,0.044444,0.033333,0.011111,0.011111,0.1,0.011111,0.088889,600,90,2048,0.955645,4,0.984641,180
0.566667,4,0.96626,8,600,0.02267,4,19,pairwise,4,0.98893,0.033333,learned_generated_oracle,40,600,400,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766667,0.166667,0.022222,0.044444,1.0,0.0,0.0,600,90,2048,0.955645,4,0.984641,180
0.633333,4,0.96626,8,600,0.0,4,19,pairwise,4,0.96626,1.0,generated_plus_composition_oracle,40,600,400,19,0.2,0.044444,0.055556,0.3,0.033333,0.244444,0.022222,0.033333,0.333333,0.244444,0.022222,0.022222,0.011111,0.0,0.0,0.033333,0.0,0.066667,600,90,2048,0.955645,4,0.984641,180
0.544444,4,0.951125,8,600,0.045011,4,23,pairwise,4,0.996135,0.0,static_learned_interaction,40,600,400,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.948714,4,0.974007,180
0.544444,4,0.951125,8,600,0.053689,4,23,pairwise,4,1.004814,0.133333,joint_candidate_generator_evaluator,40,600,400,23,0.1,0.011111,0.011111,0.122222,0.033333,0.277778,0.011111,0.011111,0.333333,0.355556,0.022222,0.044444,0.011111,0.0,0.0,0.055556,0.0,0.111111,600,90,2048,0.948714,4,0.974007,180
0.555556,4,0.951125,8,600,0.035531,4,23,pairwise,4,0.986655,0.033333,learned_generated_oracle,40,600,400,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877778,0.066667,0.0,0.055556,1.0,0.0,0.0,600,90,2048,0.948714,4,0.974007,180
0.6,4,0.951125,8,600,0.0,4,23,pairwise,4,0.951125,1.0,generated_plus_composition_oracle,40,600,400,23,0.133333,0.011111,0.022222,0.166667,0.011111,0.244444,0.055556,0.022222,0.333333,0.344444,0.0,0.022222,0.011111,0.0,0.0,0.033333,0.0,0.122222,600,90,2048,0.948714,4,0.974007,180
0.5,4,0.933227,16,600,0.038593,4,11,pairwise,4,0.971821,0.011111,static_learned_interaction,40,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.862253,4,0.912281,180
0.477778,4,0.933227,16,600,0.042438,4,11,pairwise,4,0.975665,0.122222,joint_candidate_generator_evaluator,40,600,400,11,0.033333,0.011111,0.022222,0.066667,0.022222,0.233333,0.066667,0.0,0.322222,0.344444,0.033333,0.011111,0.011111,0.011111,0.022222,0.055556,0.0,0.177778,600,90,2048,0.862253,4,0.912281,180
