accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,learned_safe_candidates,loss,loss_generator_propagation_steps,loss_generator_random_candidates,loss_generator_structured_candidates,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,safe_generator_mode,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_learned_safe_0_rate,selected_learned_safe_1_rate,selected_learned_safe_2_rate,selected_learned_safe_3_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach,verification_head,verification_head_weight,verification_score_penalty
0.0,0.522222,4,0.84748,16,0.059204,4,0.0,17,pairwise,120,4,0.906684,80,4,4,0.0,0.25,0.3,static_learned_interaction,400,loss,0.0,17,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227778,0.026034,0.038889,0.896975,confidence_t0p35,4,90,2048,0.266667,0.902368,4,0.898303,0,180,1,1,0,0.4,1.0
0.766667,0.511111,4,0.84748,16,0.081222,4,0.355556,17,pairwise,120,4,0.928702,80,4,4,0.155556,0.25,0.3,joint_selector_propagator,400,loss,0.0,17,0.0,0.35,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.233333,0.0,0.0,0.0,0.0,0.566667,0.0,0.0,0.0,0.0,0.227778,0.026034,0.038889,0.896975,confidence_t0p35,4,90,2048,0.266667,0.902368,4,0.898303,0,180,1,1,0,0.4,1.0
0.344444,0.522222,4,0.84748,16,0.071313,4,0.122222,17,pairwise,120,4,0.918794,80,4,4,0.077778,0.25,0.3,confidence_selected_joint_selector_propagator,400,loss,0.0,17,0.0,0.35,0.0,0.155556,0.0,0.0,0.155556,0.0,0.0,0.655556,0.0,0.0,0.0,0.0,0.188889,0.0,0.0,0.0,0.0,0.227778,0.026034,0.038889,0.896975,confidence_t0p35,4,90,2048,0.266667,0.902368,4,0.898303,0,180,1,1,0,0.4,1.0
0.344444,0.522222,4,0.84748,16,0.071313,4,0.122222,17,pairwise,120,4,0.918794,80,4,4,0.077778,0.25,0.3,train_selected_joint_selector_propagator,400,loss,0.0,17,0.0,0.35,0.0,0.155556,0.0,0.0,0.155556,0.0,0.0,0.655556,0.0,0.0,0.0,0.0,0.188889,0.0,0.0,0.0,0.0,0.227778,0.026034,0.038889,0.896975,confidence_t0p35,4,90,2048,0.266667,0.902368,4,0.898303,0,180,1,1,0,0.4,1.0
1.0,0.577778,4,0.84748,16,0.0,4,0.0,17,pairwise,120,4,0.84748,80,4,4,1.0,0.25,0.3,generated_plus_composition_oracle,400,loss,0.0,17,0.0,0.35,0.055556,0.188889,0.022222,0.033333,0.3,0.233333,0.011111,0.0,0.055556,0.077778,0.0,0.0,0.144444,0.0,0.0,0.177778,0.0,0.227778,0.026034,0.038889,0.896975,confidence_t0p35,4,90,2048,0.266667,0.902368,4,0.898303,0,180,1,1,0,0.4,1.0
0.0,0.477778,4,0.820974,16,0.104792,4,0.0,19,pairwise,120,4,0.925766,80,4,4,0.0,0.25,0.3,static_learned_interaction,400,loss,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977778,0.474475,0.227778,0.757559,confidence_t0,4,90,2048,0.227778,0.757559,4,0.804045,0,180,1,1,0,0.4,1.0
0.955556,0.566667,4,0.820974,16,0.056763,4,0.211111,19,pairwise,120,4,0.877737,80,4,4,0.388889,0.25,0.3,joint_selector_propagator,400,loss,0.0,19,0.0,0.0,0.0,0.444444,0.0,0.0,0.444444,0.355556,0.0,0.044444,0.0,0.0,0.0,0.0,0.133333,0.0,0.0,0.022222,0.0,0.977778,0.474475,0.227778,0.757559,confidence_t0,4,90,2048,0.227778,0.757559,4,0.804045,0,180,1,1,0,0.4,1.0
0.955556,0.566667,4,0.820974,16,0.056763,4,0.211111,19,pairwise,120,4,0.877737,80,4,4,0.388889,0.25,0.3,confidence_selected_joint_selector_propagator,400,loss,0.0,19,0.0,0.0,0.0,0.444444,0.0,0.0,0.444444,0.355556,0.0,0.044444,0.0,0.0,0.0,0.0,0.133333,0.0,0.0,0.022222,0.0,0.977778,0.474475,0.227778,0.757559,confidence_t0,4,90,2048,0.227778,0.757559,4,0.804045,0,180,1,1,0,0.4,1.0
0.955556,0.566667,4,0.820974,16,0.056763,4,0.211111,19,pairwise,120,4,0.877737,80,4,4,0.388889,0.25,0.3,train_selected_joint_selector_propagator,400,loss,0.0,19,0.0,0.0,0.0,0.444444,0.0,0.0,0.444444,0.355556,0.0,0.044444,0.0,0.0,0.0,0.0,0.133333,0.0,0.0,0.022222,0.0,0.977778,0.474475,0.227778,0.757559,confidence_t0,4,90,2048,0.227778,0.757559,4,0.804045,0,180,1,1,0,0.4,1.0
1.0,0.633333,4,0.820974,16,0.0,4,0.0,19,pairwise,120,4,0.820974,80,4,4,1.0,0.25,0.3,generated_plus_composition_oracle,400,loss,0.0,19,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.255556,0.0,0.0,0.144444,0.055556,0.011111,0.0,0.144444,0.0,0.0,0.088889,0.0,0.977778,0.474475,0.227778,0.757559,confidence_t0,4,90,2048,0.227778,0.757559,4,0.804045,0,180,1,1,0,0.4,1.0
