mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,zero_delta_mse,relative_mse,mean_selected_k,mean_updated_k,max_selected_k,mean_touch_ratio,max_touch_ratio,mean_escalation,mean_missed_causal
sparse_confident_relations,2048,4,0.95,0.5,0.25,0.14816,0.261653,0.568889,0.260438,4.0,2.445312,4,0.00363089,0.00438596,1.0,1.554688
hybrid_escalation_region,2048,4,0.95,0.5,0.25,0.003827,0.051589,0.568889,0.006728,4.0,4.0,4,0.00363089,0.00438596,1.0,0.0
sparse_confident_relations,2048,4,0.2,0.0,0.0,0.306427,0.479628,0.591709,0.517867,4.0,1.0,4,0.00390054,0.00390054,1.0,3.0
hybrid_escalation_region,2048,4,0.2,0.0,0.0,0.003548,0.046875,0.591709,0.005995,4.0,4.0,4,0.00390054,0.00390054,1.0,0.0
sparse_confident_relations,2048,4,0.2,0.0,0.25,0.285569,0.461625,0.550731,0.518528,4.0,1.0,4,0.00438596,0.00438596,1.0,3.0
hybrid_escalation_region,2048,4,0.2,0.0,0.25,0.003677,0.046851,0.550731,0.006676,4.0,4.0,4,0.00438596,0.00438596,1.0,0.0
sparse_confident_relations,2048,4,0.2,0.5,0.0,0.276111,0.453718,0.53207,0.518937,4.0,1.0,4,0.0031485,0.00390054,0.84375,3.0
hybrid_escalation_region,2048,4,0.2,0.5,0.0,0.057422,0.122381,0.53207,0.107921,4.0,3.53125,4,0.0031485,0.00390054,0.84375,0.46875
sparse_confident_relations,2048,4,0.2,0.5,0.25,0.330098,0.498703,0.637514,0.51779,4.0,1.0,4,0.00364231,0.00438596,1.0,3.0
hybrid_escalation_region,2048,4,0.2,0.5,0.25,0.004139,0.054085,0.637514,0.006492,4.0,4.0,4,0.00364231,0.00438596,1.0,0.0
sparse_confident_relations,2048,8,0.95,0.0,0.0,0.00216,0.03583,0.440825,0.0049,8.0,8.0,8,0.00778589,0.00778589,0.0,0.0
hybrid_escalation_region,2048,8,0.95,0.0,0.0,0.00216,0.03583,0.440825,0.0049,8.0,8.0,8,0.00778589,0.00778589,0.0,0.0
sparse_confident_relations,2048,8,0.95,0.0,0.25,0.002301,0.036264,0.412917,0.005572,8.0,8.0,8,0.00875061,0.00875061,1.0,0.0
hybrid_escalation_region,2048,8,0.95,0.0,0.25,0.002301,0.036264,0.412917,0.005572,8.0,8.0,8,0.00875061,0.00875061,1.0,0.0
sparse_confident_relations,2048,8,0.95,0.5,0.0,0.160677,0.286997,0.445944,0.360307,8.0,4.203125,8,0.00594888,0.00778589,0.0,3.796875
