row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,sample_count
sample,13,5,128,1,133,133,5,5,0.939910,8822,374,0.957606,4.424300,0.234500,0.946997,20216,760,0.962406,272,20488,20216,0.000000,17689,25,0.998587,20.775767,0.697633,1.703133,0.966421,0.918023,1
sample,13,5,128,3,133,133,5,5,0.939910,8822,374,0.957606,4.564500,0.222500,0.951254,20216,760,0.962406,816,21032,60648,0.653212,53067,75,0.998587,19.917400,0.999467,1.596233,0.949819,0.919857,1
sample,13,5,128,8,133,133,5,5,0.939910,8822,374,0.957606,4.387500,0.240300,0.945231,20216,760,0.962406,2176,22392,161728,0.861545,141512,200,0.998587,19.009100,1.189833,1.672200,0.937407,0.912032,1
sample,13,6,128,1,132,132,4,4,0.939576,8756,308,0.964824,4.818800,0.254300,0.947228,20064,608,0.969697,272,20336,20064,0.000000,17424,16,0.999082,17.452133,0.879467,1.886333,0.949607,0.891914,1
sample,13,6,128,3,132,132,4,4,0.939576,8756,308,0.964824,4.382100,0.186300,0.957486,20064,608,0.969697,816,20880,60192,0.653110,52272,48,0.999082,19.298533,0.831067,2.126267,0.956936,0.889822,1
sample,13,6,128,8,132,132,4,4,0.939576,8756,308,0.964824,4.423300,0.290100,0.934415,20064,608,0.969697,2176,22240,160512,0.861443,139392,128,0.999082,20.321633,0.929367,1.514333,0.954267,0.925482,1
sample,13,7,128,1,132,132,4,4,0.939576,8756,308,0.964824,4.278200,0.188600,0.955916,20064,608,0.969697,272,20336,20064,0.000000,17424,16,0.999082,20.088900,1.059833,1.723567,0.947243,0.914203,1
sample,13,7,128,3,132,132,4,4,0.939576,8756,308,0.964824,4.857400,0.227400,0.953185,20064,608,0.969697,816,20880,60192,0.653110,52272,48,0.999082,21.475767,1.309533,1.943667,0.939023,0.909495,1
sample,13,7,128,8,132,132,4,4,0.939576,8756,308,0.964824,4.671000,0.205400,0.956027,20064,608,0.969697,2176,22240,160512,0.861443,139392,128,0.999082,20.942567,0.876600,1.568633,0.958143,0.925098,1
sample,13,0,512,1,516,516,4,4,0.938403,34100,308,0.990968,17.054000,0.235900,0.986167,78432,608,0.992248,272,78704,78432,0.000000,266256,16,0.999940,76.720700,0.825700,1.452567,0.989238,0.981067,1
