accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_reject_margin,deployment_risk_adjusted,deployment_risk_penalty,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,learned_generated_candidates,loss,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_generated_0_rate,selected_learned_generated_1_rate,selected_learned_generated_2_rate,selected_learned_generated_3_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_seed_count,train_static_learned_loss,train_verified_candidate_accept_rate,train_verified_candidate_regret_loss,train_verified_uncertainty_accept_rate,train_verified_uncertainty_regret_loss,validation_samples_per_seed,verification_feature_count
0.566667,0.5,4,0.939425,8,600,0.01,1.0,1.0,0.0305,700,4,0.255556,11,pairwise,4,0.969925,0.077778,verified_uncertainty_regret_gate_r1_m0p01,-0.006671,0.055077,40,0.108485,600,400,11,0.1,0.0,0.033333,0.133333,0.011111,0.077778,0.011111,0.0,0.1,0.066667,0.033333,0.066667,0.0,0.0,0.0,0.433333,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.411111,0.5,4,0.939425,8,600,0.02,1.0,1.0,0.029272,700,4,0.166667,11,pairwise,4,0.968697,0.066667,verified_uncertainty_regret_gate_r1_m0p02,-0.006671,0.055077,40,0.108485,600,400,11,0.077778,0.0,0.022222,0.1,0.0,0.066667,0.0,0.0,0.066667,0.011111,0.022222,0.044444,0.0,0.0,0.0,0.588889,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.311111,0.5,4,0.939425,8,600,0.05,1.0,1.0,0.029573,700,4,0.122222,11,pairwise,4,0.968998,0.055556,verified_uncertainty_regret_gate_r1_m0p05,-0.006671,0.055077,40,0.108485,600,400,11,0.044444,0.0,0.022222,0.066667,0.0,0.044444,0.0,0.0,0.044444,0.0,0.011111,0.022222,0.0,0.0,0.0,0.688889,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.366667,0.5,4,0.939425,8,600,0.0,1.0,1.5,0.02984,700,4,0.144444,11,pairwise,4,0.969265,0.055556,verified_uncertainty_regret_gate_r1p5_m0,-0.006671,0.055077,40,0.108485,600,400,11,0.055556,0.0,0.022222,0.077778,0.0,0.055556,0.0,0.0,0.055556,0.0,0.022222,0.044444,0.0,0.0,0.0,0.633333,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.366667,0.5,4,0.939425,8,600,0.0025,1.0,1.5,0.02984,700,4,0.144444,11,pairwise,4,0.969265,0.055556,verified_uncertainty_regret_gate_r1p5_m0p0025,-0.006671,0.055077,40,0.108485,600,400,11,0.055556,0.0,0.022222,0.077778,0.0,0.055556,0.0,0.0,0.055556,0.0,0.022222,0.044444,0.0,0.0,0.0,0.633333,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.355556,0.5,4,0.939425,8,600,0.005,1.0,1.5,0.029724,700,4,0.133333,11,pairwise,4,0.96915,0.055556,verified_uncertainty_regret_gate_r1p5_m0p005,-0.006671,0.055077,40,0.108485,600,400,11,0.055556,0.0,0.022222,0.077778,0.0,0.055556,0.0,0.0,0.055556,0.0,0.022222,0.033333,0.0,0.0,0.0,0.644444,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.355556,0.5,4,0.939425,8,600,0.01,1.0,1.5,0.029724,700,4,0.133333,11,pairwise,4,0.96915,0.055556,verified_uncertainty_regret_gate_r1p5_m0p01,-0.006671,0.055077,40,0.108485,600,400,11,0.055556,0.0,0.022222,0.077778,0.0,0.055556,0.0,0.0,0.055556,0.0,0.022222,0.033333,0.0,0.0,0.0,0.644444,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.311111,0.5,4,0.939425,8,600,0.02,1.0,1.5,0.029668,700,4,0.122222,11,pairwise,4,0.969094,0.044444,verified_uncertainty_regret_gate_r1p5_m0p02,-0.006671,0.055077,40,0.108485,600,400,11,0.033333,0.0,0.022222,0.055556,0.0,0.044444,0.0,0.0,0.044444,0.0,0.022222,0.022222,0.0,0.0,0.0,0.688889,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.177778,0.5,4,0.939425,8,600,0.05,1.0,1.5,0.028099,700,4,0.055556,11,pairwise,4,0.967524,0.022222,verified_uncertainty_regret_gate_r1p5_m0p05,-0.006671,0.055077,40,0.108485,600,400,11,0.022222,0.0,0.0,0.022222,0.0,0.033333,0.0,0.0,0.033333,0.0,0.011111,0.022222,0.0,0.0,0.0,0.822222,0.088889,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
0.3,0.5,4,0.939425,8,600,0.0,1.0,2.0,0.029668,700,4,0.122222,11,pairwise,4,0.969094,0.044444,verified_uncertainty_regret_gate_r2_m0,-0.006671,0.055077,40,0.108485,600,400,11,0.033333,0.0,0.022222,0.055556,0.0,0.044444,0.0,0.0,0.044444,0.0,0.011111,0.022222,0.0,0.0,0.0,0.7,0.166667,,,,,,90,2048,4,0.981228,0.972222,0.957189,0.697222,0.959561,180,13
