mode,total_n,dual_omission,escape_rate,observation_budget,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,observation_hit_rate,observation_cost,work_proxy,bytes_proxy
wpu-neighbor-only,2048,0.75,0.25,4,25,24,24.0,24.0,0.666667,0.222222,0.202171,0.83444,18.666667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.25,4,25,24,32.0,32.0,0.958333,0.239583,0.088453,0.919642,24.333333,0.75,4.0,32.0,1152.0
dense-state-copy,2048,0.75,0.25,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.25,8,25,24,24.0,24.0,0.765625,0.255208,0.159255,0.865361,17.875,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.25,8,25,24,32.0,32.0,0.979167,0.244792,0.079282,0.926934,24.166667,0.75,8.0,32.0,1152.0
dense-state-copy,2048,0.75,0.25,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.5,0,25,24,24.0,24.0,0.557292,0.185764,0.258164,0.799901,19.541667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.5,0,25,24,24.0,24.0,0.536458,0.178819,0.261541,0.795601,19.708333,0.0,0.0,24.0,864.0
dense-state-copy,2048,0.75,0.5,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.5,2,25,24,24.0,24.0,0.671875,0.223958,0.201813,0.83559,18.625,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.5,2,25,24,32.0,32.0,0.838542,0.209635,0.145287,0.875557,25.291667,0.738889,2.0,32.0,1152.0
dense-state-copy,2048,0.75,0.5,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.5,4,25,24,24.0,24.0,0.604167,0.201389,0.234046,0.811827,19.166667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.5,4,25,24,32.0,32.0,0.979167,0.244792,0.081287,0.925431,24.166667,0.977778,4.0,32.0,1152.0
dense-state-copy,2048,0.75,0.5,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.5,8,25,24,24.0,24.0,0.588542,0.196181,0.237363,0.810696,19.291667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.5,8,25,24,32.0,32.0,0.963542,0.240885,0.087322,0.920764,24.291667,0.958333,8.0,32.0,1152.0
dense-state-copy,2048,0.75,0.5,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.75,0,25,24,24.0,24.0,0.380208,0.126736,0.331326,0.754524,20.958333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.75,0,25,24,24.0,24.0,0.432292,0.144097,0.308694,0.765821,20.541667,0.0,0.0,24.0,864.0
dense-state-copy,2048,0.75,0.75,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.75,2,25,24,24.0,24.0,0.40625,0.135417,0.323383,0.757856,20.75,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.75,2,25,24,32.0,32.0,0.677083,0.169271,0.21402,0.827972,26.583333,0.496032,2.0,32.0,1152.0
dense-state-copy,2048,0.75,0.75,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.75,4,25,24,24.0,24.0,0.401042,0.133681,0.327458,0.755541,20.791667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.75,4,25,24,32.0,32.0,0.84375,0.210938,0.1417,0.878278,25.25,0.840873,4.0,32.0,1152.0
dense-state-copy,2048,0.75,0.75,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.75,8,25,24,24.0,24.0,0.380208,0.126736,0.335246,0.752462,20.958333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,2048,0.75,0.75,8,25,24,32.0,32.0,0.947917,0.236979,0.097012,0.912701,24.416667,1.0,8.0,32.0,1152.0
dense-state-copy,2048,0.75,0.75,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,8192,0.75,0.0,0,25,24,24.0,24.0,0.927083,0.309028,0.083979,0.923956,16.583333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.0,0,25,24,24.0,24.0,0.953125,0.317708,0.075661,0.930436,16.375,0.0,0.0,24.0,864.0
dense-state-copy,8192,0.75,0.0,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.0,2,25,24,24.0,24.0,0.911458,0.303819,0.094345,0.915263,16.708333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.0,2,25,24,32.0,32.0,0.953125,0.238281,0.093098,0.915594,24.375,0.0,2.0,32.0,1152.0
dense-state-copy,8192,0.75,0.0,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.0,4,25,24,24.0,24.0,0.921875,0.307292,0.089752,0.918853,16.625,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.0,4,25,24,32.0,32.0,0.953125,0.238281,0.091847,0.916541,24.375,0.0,4.0,32.0,1152.0
dense-state-copy,8192,0.75,0.0,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.0,8,25,24,24.0,24.0,0.942708,0.314236,0.080016,0.927271,16.458333,0.0,0.0,24.0,864.0
