row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,full_graph_peak_memory_bytes,selected_sparse_peak_memory_bytes,selected_local_dense_peak_memory_bytes,sparse_peak_memory_reduction,local_dense_peak_memory_reduction,sample_count
sample,11,2,512,3,516,516,4,4,0.938403,34100,308,0.990968,10.482800,0.129100,0.987685,78432,608,0.992248,816,79248,235296,0.663199,798768,48,0.999940,147.126800,2.128320,3.226920,0.985534,0.978067,11880448.000,10705920.000,10704896.000,0.098862,0.098948,1
sample,11,2,512,8,516,516,4,4,0.938403,34100,308,0.990968,10.524900,0.138800,0.986812,78432,608,0.992248,2176,80608,627456,0.871532,2130048,128,0.999940,146.578160,2.234240,3.180420,0.984757,0.978302,11880448.000,10705920.000,10704896.000,0.098862,0.098948,1
sample,11,3,512,1,516,516,4,4,0.938403,34100,308,0.990968,10.366100,0.146300,0.985887,78432,608,0.992248,272,78704,78432,0.000000,266256,16,0.999940,144.723180,2.137760,3.133020,0.985229,0.978352,11880448.000,10705920.000,10704896.000,0.098862,0.098948,1
sample,11,3,512,3,516,516,4,4,0.938403,34100,308,0.990968,10.312600,0.123100,0.988063,78432,608,0.992248,816,79248,235296,0.663199,798768,48,0.999940,146.474540,2.153900,3.121080,0.985295,0.978692,11880448.000,10705920.000,10704896.000,0.098862,0.098948,1
sample,11,3,512,8,516,516,4,4,0.938403,34100,308,0.990968,10.371000,0.123200,0.988121,78432,608,0.992248,2176,80608,627456,0.871532,2130048,128,0.999940,145.226220,2.167320,3.119080,0.985076,0.978523,11880448.000,10705920.000,10704896.000,0.098862,0.098948,1
sample,11,0,2048,1,2052,2052,4,4,0.938101,135476,308,0.997727,40.096000,0.133000,0.996683,311904,608,0.998051,272,312176,311904,0.000000,4210704,16,0.999996,569.478520,2.109000,3.240360,0.996297,0.994310,15528448.000,10807296.000,10806272.000,0.304032,0.304098,1
sample,11,0,2048,3,2052,2052,4,4,0.938101,135476,308,0.997727,40.894700,0.134000,0.996723,311904,608,0.998051,816,312720,935712,0.665795,12632112,48,0.999996,572.544420,2.143000,3.205400,0.996257,0.994401,15528448.000,10807296.000,10806272.000,0.304032,0.304098,1
sample,11,0,2048,8,2052,2052,4,4,0.938101,135476,308,0.997727,40.794600,0.137100,0.996639,311904,608,0.998051,2176,314080,2495232,0.874128,33685632,128,0.999996,579.263540,2.095460,3.148240,0.996383,0.994565,15528448.000,10807296.000,10806272.000,0.304032,0.304098,1
sample,11,1,2048,1,2053,2053,5,5,0.938124,135542,374,0.997241,40.083200,0.170600,0.995744,312056,760,0.997565,272,312328,312056,0.000000,4214809,25,0.999994,574.426960,2.341900,3.239200,0.995923,0.994361,15532032.000,10807808.000,10806784.000,0.304160,0.304226,1
sample,11,1,2048,3,2053,2053,5,5,0.938124,135542,374,0.997241,41.121600,0.157100,0.996180,312056,760,0.997565,816,312872,936168,0.665795,12644427,75,0.999994,582.751440,2.321780,3.332360,0.996016,0.994282,15532032.000,10807808.000,10806784.000,0.304160,0.304226,1
