accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.222222,0.533333,4,0.877399,32,0.04728,4,0.044444,13,pairwise,60,0.924679,0.177778,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.777778,0.0,0.0,0.0,0.0,0.0,0.266667,0.287183,0.033333,0.948393,confidence_t0p25,4,45,2048,0.5,0.947903,4,0.963885,0,60
0.222222,0.533333,4,0.877399,32,0.04728,4,0.044444,13,pairwise,60,0.924679,0.177778,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.777778,0.0,0.0,0.0,0.0,0.0,0.266667,0.287183,0.033333,0.948393,confidence_t0p25,4,45,2048,0.5,0.947903,4,0.963885,0,60
1.0,0.533333,4,0.877399,32,0.0,4,0.0,13,pairwise,60,0.877399,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,13,0.0,0.25,0.044444,0.222222,0.0,0.0,0.266667,0.422222,0.0,0.0,0.244444,0.0,0.022222,0.044444,0.0,0.266667,0.287183,0.033333,0.948393,confidence_t0p25,4,45,2048,0.5,0.947903,4,0.963885,0,60
0.0,0.488889,4,1.007214,32,0.05676,4,0.0,17,pairwise,60,1.063974,0.0,0.25,0.0,static_learned_interaction,120,0.2,17,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.124956,0.083333,0.9966,confidence_t0p25,4,45,2048,0.566667,1.00702,4,1.003164,0,60
1.0,0.488889,4,1.007214,32,0.059176,4,0.6,17,pairwise,60,1.066389,0.4,0.25,0.0,joint_selector_propagator,120,0.2,17,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.124956,0.083333,0.9966,confidence_t0p25,4,45,2048,0.566667,1.00702,4,1.003164,0,60
0.2,0.488889,4,1.007214,32,0.055665,4,0.066667,17,pairwise,60,1.062879,0.133333,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,17,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.124956,0.083333,0.9966,confidence_t0p25,4,45,2048,0.566667,1.00702,4,1.003164,0,60
0.2,0.488889,4,1.007214,32,0.055665,4,0.066667,17,pairwise,60,1.062879,0.133333,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,17,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.124956,0.083333,0.9966,confidence_t0p25,4,45,2048,0.566667,1.00702,4,1.003164,0,60
1.0,0.533333,4,1.007214,32,0.0,4,0.0,17,pairwise,60,1.007214,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,17,0.0,0.25,0.022222,0.333333,0.022222,0.0,0.377778,0.4,0.0,0.0,0.133333,0.022222,0.0,0.066667,0.0,0.3,0.124956,0.083333,0.9966,confidence_t0p25,4,45,2048,0.566667,1.00702,4,1.003164,0,60
0.0,0.488889,4,1.032588,32,0.039661,4,0.0,19,pairwise,60,1.07225,0.0,0.25,0.0,static_learned_interaction,120,0.2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.167335,0.383333,0.946378,confidence_t0,4,45,2048,0.383333,0.946378,4,0.952698,0,60
1.0,0.488889,4,1.032588,32,0.029981,4,0.4,19,pairwise,60,1.062569,0.355556,0.25,0.0,joint_selector_propagator,120,0.2,19,0.0,0.0,0.0,0.133333,0.0,0.0,0.133333,0.622222,0.0,0.0,0.244444,0.0,0.0,0.0,0.0,1.0,0.167335,0.383333,0.946378,confidence_t0,4,45,2048,0.383333,0.946378,4,0.952698,0,60
1.0,0.488889,4,1.032588,32,0.029981,4,0.4,19,pairwise,60,1.062569,0.355556,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,19,0.0,0.0,0.0,0.133333,0.0,0.0,0.133333,0.622222,0.0,0.0,0.244444,0.0,0.0,0.0,0.0,1.0,0.167335,0.383333,0.946378,confidence_t0,4,45,2048,0.383333,0.946378,4,0.952698,0,60
1.0,0.488889,4,1.032588,32,0.029981,4,0.4,19,pairwise,60,1.062569,0.355556,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,19,0.0,0.0,0.0,0.133333,0.0,0.0,0.133333,0.622222,0.0,0.0,0.244444,0.0,0.0,0.0,0.0,1.0,0.167335,0.383333,0.946378,confidence_t0,4,45,2048,0.383333,0.946378,4,0.952698,0,60
1.0,0.511111,4,1.032588,32,0.0,4,0.0,19,pairwise,60,1.032588,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,19,0.0,0.0,0.0,0.311111,0.066667,0.0,0.377778,0.4,0.0,0.0,0.2,0.0,0.0,0.022222,0.0,1.0,0.167335,0.383333,0.946378,confidence_t0,4,45,2048,0.383333,0.946378,4,0.952698,0,60
0.0,0.577778,4,0.844911,32,0.048973,4,0.0,23,pairwise,60,0.893884,0.0,0.25,0.0,static_learned_interaction,120,0.2,23,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817105,confidence_t0p25,4,45,2048,0.483333,0.826461,4,0.817105,0,60
1.0,0.577778,4,0.844911,32,0.052876,4,0.6,23,pairwise,60,0.897786,0.288889,0.25,0.0,joint_selector_propagator,120,0.2,23,0.0,0.25,0.0,0.066667,0.0,0.0,0.066667,0.844444,0.0,0.0,0.088889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817105,confidence_t0p25,4,45,2048,0.483333,0.826461,4,0.817105,0,60
0.0,0.577778,4,0.844911,32,0.048973,4,0.0,23,pairwise,60,0.893884,0.0,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,23,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817105,confidence_t0p25,4,45,2048,0.483333,0.826461,4,0.817105,0,60
0.0,0.577778,4,0.844911,32,0.048973,4,0.0,23,pairwise,60,0.893884,0.0,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,23,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817105,confidence_t0p25,4,45,2048,0.483333,0.826461,4,0.817105,0,60
1.0,0.644444,4,0.844911,32,0.0,4,0.0,23,pairwise,60,0.844911,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,23,0.0,0.25,0.022222,0.177778,0.0,0.022222,0.222222,0.333333,0.0,0.0,0.222222,0.0,0.066667,0.155556,0.0,0.0,0.0,0.0,0.817105,confidence_t0p25,4,45,2048,0.483333,0.826461,4,0.817105,0,60
