accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach
0.0,0.488889,4,0.908403,16,0.106366,4,0.0,17,pairwise,60,1.014768,0.0,0.25,0.0,static_learned_interaction,120,0.0,17,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.277666,0.25,0.962148,confidence_t0p35,4,45,2048,0.3,0.948603,4,0.993912,0,60,1,1
1.0,0.533333,4,0.908403,16,0.079141,4,0.355556,17,pairwise,60,0.987544,0.533333,0.25,0.0,joint_selector_propagator,120,0.0,17,0.0,0.35,0.0,0.155556,0.0,0.0,0.155556,0.666667,0.0,0.0,0.177778,0.0,0.0,0.0,0.0,0.8,0.277666,0.25,0.962148,confidence_t0p35,4,45,2048,0.3,0.948603,4,0.993912,0,60,1,1
0.822222,0.555556,4,0.908403,16,0.082404,4,0.311111,17,pairwise,60,0.990807,0.422222,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,17,0.0,0.35,0.0,0.088889,0.0,0.0,0.088889,0.577778,0.0,0.177778,0.155556,0.0,0.0,0.0,0.0,0.8,0.277666,0.25,0.962148,confidence_t0p35,4,45,2048,0.3,0.948603,4,0.993912,0,60,1,1
0.822222,0.555556,4,0.908403,16,0.082404,4,0.311111,17,pairwise,60,0.990807,0.422222,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,17,0.0,0.35,0.0,0.088889,0.0,0.0,0.088889,0.577778,0.0,0.177778,0.155556,0.0,0.0,0.0,0.0,0.8,0.277666,0.25,0.962148,confidence_t0p35,4,45,2048,0.3,0.948603,4,0.993912,0,60,1,1
1.0,0.622222,4,0.908403,16,0.0,4,0.0,17,pairwise,60,0.908403,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,17,0.0,0.35,0.0,0.333333,0.022222,0.022222,0.377778,0.4,0.0,0.0,0.133333,0.0,0.0,0.088889,0.0,0.8,0.277666,0.25,0.962148,confidence_t0p35,4,45,2048,0.3,0.948603,4,0.993912,0,60,1,1
0.0,0.4,4,0.983913,16,0.085114,4,0.0,19,pairwise,60,1.069027,0.0,0.25,0.0,static_learned_interaction,120,0.0,19,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.466667,0.213951,0.15,0.851072,confidence_t0p45,4,45,2048,0.366667,0.834741,4,0.869592,0,60,1,1
1.0,0.488889,4,0.983913,16,0.035575,4,0.2,19,pairwise,60,1.019488,0.533333,0.25,0.0,joint_selector_propagator,120,0.0,19,0.0,0.45,0.0,0.222222,0.0,0.0,0.222222,0.622222,0.0,0.0,0.155556,0.0,0.0,0.0,0.0,0.466667,0.213951,0.15,0.851072,confidence_t0p45,4,45,2048,0.366667,0.834741,4,0.869592,0,60,1,1
0.4,0.466667,4,0.983913,16,0.057685,4,0.044444,19,pairwise,60,1.041598,0.311111,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,19,0.0,0.45,0.0,0.044444,0.0,0.0,0.044444,0.355556,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.466667,0.213951,0.15,0.851072,confidence_t0p45,4,45,2048,0.366667,0.834741,4,0.869592,0,60,1,1
0.4,0.466667,4,0.983913,16,0.057685,4,0.044444,19,pairwise,60,1.041598,0.311111,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,19,0.0,0.45,0.0,0.044444,0.0,0.0,0.044444,0.355556,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.466667,0.213951,0.15,0.851072,confidence_t0p45,4,45,2048,0.366667,0.834741,4,0.869592,0,60,1,1
1.0,0.555556,4,0.983913,16,0.0,4,0.0,19,pairwise,60,0.983913,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,19,0.0,0.45,0.044444,0.222222,0.0,0.044444,0.311111,0.466667,0.0,0.0,0.066667,0.0,0.022222,0.133333,0.0,0.466667,0.213951,0.15,0.851072,confidence_t0p45,4,45,2048,0.366667,0.834741,4,0.869592,0,60,1,1
