mode,shift,total_n,escape_rate,calibration_scale,calibration_offset,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-hand-adaptive,noisy_anomaly,128,0.5,1.235341,-0.219902,32.0,32.0,3.3125,0.855469,0.135778,0.882202,0.629167,0.185465,32.0,1152.0
wpu-learned-observation,noisy_anomaly,128,0.5,1.235341,-0.219902,31.5,32.0,2.53125,0.871094,0.132795,0.884103,0.533333,0.170763,31.5,1134.0
wpu-calibrated-learned-observation,noisy_anomaly,128,0.5,1.235341,-0.219902,26.75,32.0,0.6875,0.730469,0.182295,0.84769,0.173437,0.192608,26.75,963.0
wpu-fixed-observation,noisy_anomaly,128,0.5,1.235341,-0.219902,32.0,32.0,8.0,0.917969,0.106036,0.905464,0.794792,0.226036,32.0,1152.0
dense-state-copy,noisy_anomaly,128,0.5,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,noisy_anomaly,128,0.75,1.235341,-0.219902,32.0,32.0,4.53125,0.777344,0.174374,0.853073,0.589807,0.242343,32.0,1152.0
wpu-learned-observation,noisy_anomaly,128,0.75,1.235341,-0.219902,32.0,32.0,4.28125,0.824219,0.150473,0.871269,0.677269,0.214692,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,128,0.75,1.235341,-0.219902,31.25,32.0,2.90625,0.757812,0.178502,0.8496,0.546503,0.222096,31.25,1125.0
wpu-fixed-observation,noisy_anomaly,128,0.75,1.235341,-0.219902,32.0,32.0,8.0,0.871094,0.129993,0.887468,0.793378,0.249993,32.0,1152.0
dense-state-copy,noisy_anomaly,128,0.75,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,noisy_anomaly,512,0.0,1.235341,-0.219902,24.0,24.0,0.0,0.945312,0.07877,0.927934,0.0,0.07877,24.0,864.0
wpu-learned-observation,noisy_anomaly,512,0.0,1.235341,-0.219902,32.0,32.0,5.9375,0.984375,0.079589,0.92669,0.0,0.168652,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,512,0.0,1.235341,-0.219902,26.25,32.0,0.375,0.949219,0.080119,0.927236,0.0,0.085744,26.25,945.0
wpu-fixed-observation,noisy_anomaly,512,0.0,1.235341,-0.219902,32.0,32.0,8.0,0.9375,0.100874,0.90947,0.0,0.220874,32.0,1152.0
dense-state-copy,noisy_anomaly,512,0.0,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,noisy_anomaly,512,0.25,1.235341,-0.219902,31.0,32.0,1.46875,0.890625,0.118316,0.895404,0.509375,0.140347,31.0,1116.0
wpu-learned-observation,noisy_anomaly,512,0.25,1.235341,-0.219902,32.0,32.0,5.96875,0.9375,0.096436,0.912981,0.598958,0.185967,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,512,0.25,1.235341,-0.219902,30.25,32.0,1.5,0.910156,0.106178,0.905297,0.604167,0.128678,30.25,1089.0
wpu-fixed-observation,noisy_anomaly,512,0.25,1.235341,-0.219902,32.0,32.0,8.0,0.941406,0.099978,0.910401,0.515625,0.219978,32.0,1152.0
dense-state-copy,noisy_anomaly,512,0.25,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,noisy_anomaly,512,0.5,1.235341,-0.219902,32.0,32.0,3.0625,0.824219,0.152913,0.868824,0.634375,0.19885,32.0,1152.0
wpu-learned-observation,noisy_anomaly,512,0.5,1.235341,-0.219902,32.0,32.0,6.0,0.839844,0.141815,0.877115,0.612946,0.231815,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,512,0.5,1.235341,-0.219902,32.0,32.0,3.25,0.902344,0.115196,0.897552,0.845833,0.163946,32.0,1152.0
wpu-fixed-observation,noisy_anomaly,512,0.5,1.235341,-0.219902,32.0,32.0,8.0,0.882812,0.126774,0.889389,0.822396,0.246774,32.0,1152.0
dense-state-copy,noisy_anomaly,512,0.5,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
