accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.511111,0.960229,0.255556,4,8,0.040922,0.049879,4,0.6,0.951272,0.122222,pairwise,1.001151,static_proximity,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,indexed,indexed,90,2048,0.957728,180,1.00984
0.544444,0.960229,0.177778,4,8,0.036391,0.045348,4,0.6,0.951272,0.0,pairwise,0.99662,static_interaction,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,indexed,indexed,90,2048,0.957728,180,1.00984
0.544444,0.960229,0.033333,4,8,0.035906,0.044863,4,0.6,0.951272,0.0,pairwise,0.996135,static_learned,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,indexed,indexed,90,2048,0.957728,180,1.00984
0.544444,0.960229,0.533333,4,8,0.037345,0.046302,4,0.6,0.951272,0.522222,pairwise,0.997574,static_base_validation_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.957728,180,1.00984
0.544444,0.960229,0.533333,4,8,0.037345,0.046302,4,0.6,0.951272,0.522222,pairwise,0.997574,static_generated_validation_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.957728,180,1.00984
0.566667,0.960229,0.511111,4,8,0.013502,0.02246,4,0.6,0.951272,0.6,pairwise,0.973732,generated_set_reranker,40,600,400,0.005,,23,0.077778,0.255556,0.011111,0.022222,0.366667,0.522222,0.044444,0.011111,0.055556,indexed,indexed,90,2048,0.957728,180,1.00984
0.566667,0.960229,0.511111,4,8,0.013502,0.02246,4,0.6,0.951272,0.6,pairwise,0.973732,generated_margin_safe_reranker,40,600,400,0.005,1,23,0.077778,0.255556,0.011111,0.022222,0.366667,0.522222,0.044444,0.011111,0.055556,indexed,indexed,90,2048,0.957728,180,1.00984
0.6,0.960229,1.0,4,8,0.0,0.008957,4,0.6,0.951272,0.644444,pairwise,0.960229,base_oracle,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.533333,0.177778,0.033333,0.255556,indexed,indexed,90,2048,0.957728,180,1.00984
0.6,0.960229,0.644444,4,8,-0.008957,0.0,4,0.6,0.951272,1.0,pairwise,0.951272,generated_oracle,40,600,400,0.005,,23,0.011111,0.266667,0.055556,0.022222,0.355556,0.522222,0.0,0.0,0.122222,indexed,indexed,90,2048,0.957728,180,1.00984
0.477778,0.943108,0.377778,4,16,0.046674,0.054685,4,0.544444,0.935098,0.344444,pairwise,0.989783,static_indexed,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.887104,180,0.924173
