row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count,adaptation_policy,adaptation_steps,adaptation_samples,adaptation_lr
seed,wpu-cws-indexed-local-dense,19,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.361111,0.532731,1.028369,0.626525,0.103856,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,19,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.694444,0.555556,0.422494,0.9652,0.571473,0.233654,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,19,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.305556,0.777778,0.118703,1.000729,0.607882,0.217353,4.825,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,23,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.444444,0.472222,0.145584,1.071946,0.649752,0.135444,4.275,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,23,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.472222,0.794456,1.003219,0.605633,0.128303,4.275,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,23,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.666667,0.444444,0.686353,0.907046,0.529418,0.216559,4.275,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,23,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.722222,0.319998,0.969119,0.571583,0.087482,4.775,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,29,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.5,0.123536,0.887263,0.546202,0.153103,4.3,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,29,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.472222,0.671661,1.024052,0.617945,0.111686,4.3,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,29,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.666667,0.472222,0.59774,0.878258,0.508114,0.206175,4.3,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,29,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.694444,0.694444,0.125701,0.775499,0.474924,0.098661,4.775,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,31,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.527778,0.127506,1.028398,0.62725,0.18508,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,31,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.444444,0.684394,0.964112,0.579016,0.127239,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,31,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.638889,0.5,0.726863,0.869704,0.497815,0.25627,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,31,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.277778,0.694444,0.257732,0.854249,0.562903,0.229325,4.825,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.444444,0.025979,0.960192,0.60297,0.161722,4.375,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.25,0.444444,0.072051,1.224768,0.730925,0.212045,4.375,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.527778,0.050255,0.996872,0.59081,0.063538,4.375,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.166667,0.805556,0.017593,1.016228,0.647755,0.366715,4.8,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.444444,0.02784,0.90984,0.575476,0.212886,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.277778,0.416667,0.071704,1.190738,0.715073,0.195647,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.555556,0.055168,0.981877,0.574491,0.081001,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.805556,0.805556,0.016122,0.763845,0.445868,0.221917,4.825,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.444444,0.014275,0.889417,0.57059,0.170536,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.361111,0.061913,1.103351,0.662766,0.091328,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.638889,0.555556,0.047903,0.947517,0.564243,0.175632,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.777778,0.777778,0.009901,0.80257,0.415488,0.109145,4.8,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,19,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.5,0.444444,0.025256,0.906077,0.580393,0.069997,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,19,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.361111,0.064703,0.991217,0.602016,0.079076,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,19,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.555556,0.05477,1.002697,0.584959,0.098864,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,19,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.777778,0.018779,1.003224,0.582142,0.093532,4.825,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,23,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.416667,0.472222,0.023488,1.072167,0.656966,0.166667,4.275,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,23,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.472222,0.095441,1.023109,0.61999,0.129997,4.275,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,23,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.694444,0.444444,0.075525,0.942638,0.554829,0.238203,4.275,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,23,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.666667,0.722222,0.024719,1.008404,0.558839,0.117597,4.775,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,29,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.5,0.020497,0.891255,0.546799,0.152364,4.3,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,29,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.472222,0.097285,0.972769,0.582456,0.105977,4.3,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,29,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.638889,0.472222,0.086725,0.897788,0.519415,0.221523,4.3,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,29,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.694444,0.694444,0.007135,0.785212,0.48238,0.081814,4.775,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
