causal_k,compute_cost,expanded_dense_loss,expanded_path_loss,expanded_sparse_loss,expanded_working_set_size,expansion_cost,expansion_path,expansion_ratio,hidden_dim,initial_dense_loss,initial_dense_ratio,initial_working_set_size,interaction_mode,layers,max_expansion_rate,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,route_threshold,rule,samples,seed,sparse_loss,status,total_compute_ratio,total_objects_n,validation_samples
16,0.05,1.011254,0.949708,0.949708,32,0.02,sparse,0.0,128,0.998182,0.255556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.800809,initial_calibrated_regret,0.511111,-0.059564,0.073476,0.874285,40,80,0.144888,none,90,13,0.933849,ok,0.255556,2048,90
16,0.05,1.011254,0.949708,0.949708,32,0.02,sparse,1.0,128,0.998182,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.800809,always_expand_sparse,0.511111,0.015858,0.148898,0.949708,40,80,0.144888,always,90,13,0.933849,ok,1.0,2048,90
16,0.05,1.011254,1.011254,0.949708,32,0.02,dense,1.0,128,0.998182,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.801285,always_expand_dense,0.444444,0.077405,0.209969,1.011254,40,80,0.144888,always,90,13,0.933849,ok,1.0,2048,90
16,0.05,1.011254,0.949708,0.949708,32,0.02,sparse,0.0,128,0.998182,0.255556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.800809,structured_expansion_gate,0.511111,-0.059564,0.073476,0.874285,40,80,0.144888,none,90,13,0.933849,ok,0.255556,2048,90
16,0.05,1.011254,0.949708,0.949708,32,0.02,sparse,0.0,128,0.998182,0.255556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.800809,physical_expansion_gate,0.511111,-0.059564,0.073476,0.874285,40,80,0.144888,none,90,13,0.933849,ok,0.255556,2048,90
16,0.05,1.011254,1.011254,0.949708,32,0.02,dense,0.0,128,0.998182,0.255556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.801285,structured_dense_expansion_gate,0.511111,-0.059564,0.073,0.874285,40,80,0.144888,none,90,13,0.933849,ok,0.255556,2048,90
16,0.05,1.011254,1.011254,0.949708,32,0.02,dense,0.0,128,0.998182,0.255556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.801285,physical_dense_expansion_gate,0.511111,-0.059564,0.073,0.874285,40,80,0.144888,none,90,13,0.933849,ok,0.255556,2048,90
16,0.05,1.097568,0.980333,0.980333,32,0.02,sparse,0.0,128,1.073259,0.2,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.892385,initial_calibrated_regret,0.555556,-0.015764,0.039563,0.931948,40,80,-0.01681,none,90,17,0.947712,ok,0.2,2048,90
16,0.05,1.097568,0.980333,0.980333,32,0.02,sparse,1.0,128,1.073259,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.892385,always_expand_sparse,0.522222,0.032621,0.087948,0.980333,40,80,-0.01681,always,90,17,0.947712,ok,1.0,2048,90
16,0.05,1.097568,1.097568,0.980333,32,0.02,dense,1.0,128,1.073259,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.899706,always_expand_dense,0.455556,0.149855,0.197861,1.097568,40,80,-0.01681,always,90,17,0.947712,ok,1.0,2048,90
16,0.05,1.097568,0.980333,0.980333,32,0.02,sparse,0.0,128,1.073259,0.2,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.892385,structured_expansion_gate,0.555556,-0.015764,0.039563,0.931948,40,80,-0.01681,none,90,17,0.947712,ok,0.2,2048,90
16,0.05,1.097568,0.980333,0.980333,32,0.02,sparse,0.0,128,1.073259,0.2,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.892385,physical_expansion_gate,0.555556,-0.015764,0.039563,0.931948,40,80,-0.01681,none,90,17,0.947712,ok,0.2,2048,90
16,0.05,1.097568,1.097568,0.980333,32,0.02,dense,0.0,128,1.073259,0.2,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.899706,structured_dense_expansion_gate,0.555556,-0.015764,0.032242,0.931948,40,80,-0.01681,none,90,17,0.947712,ok,0.2,2048,90
16,0.05,1.097568,1.097568,0.980333,32,0.02,dense,0.0,128,1.073259,0.2,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.899706,physical_dense_expansion_gate,0.555556,-0.015764,0.032242,0.931948,40,80,-0.01681,none,90,17,0.947712,ok,0.2,2048,90
16,0.05,1.093972,0.985606,0.985606,32,0.02,sparse,0.0,128,1.081896,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.904287,initial_calibrated_regret,0.477778,-0.00838,0.054315,0.958602,40,80,0.0165,none,90,19,0.966982,ok,0.133333,2048,90
16,0.05,1.093972,0.985606,0.985606,32,0.02,sparse,1.0,128,1.081896,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.904287,always_expand_sparse,0.466667,0.018624,0.081319,0.985606,40,80,0.0165,always,90,19,0.966982,ok,1.0,2048,90
16,0.05,1.093972,1.093972,0.985606,32,0.02,dense,1.0,128,1.081896,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.909773,always_expand_dense,0.5,0.126991,0.1842,1.093972,40,80,0.0165,always,90,19,0.966982,ok,1.0,2048,90
16,0.05,1.093972,0.985606,0.985606,32,0.02,sparse,0.033333,128,1.081896,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.904287,structured_expansion_gate,0.477778,-0.008437,0.054258,0.958545,40,80,0.0165,sparse_entropy:ge:1.080468 AND sparse_margin:ge:0.038975,90,19,0.966982,ok,0.166667,2048,90
16,0.05,1.093972,0.985606,0.985606,32,0.02,sparse,0.0,128,1.081896,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.904287,physical_expansion_gate,0.477778,-0.00838,0.054315,0.958602,40,80,0.0165,none,90,19,0.966982,ok,0.133333,2048,90
16,0.05,1.093972,1.093972,0.985606,32,0.02,dense,0.033333,128,1.081896,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.909773,structured_dense_expansion_gate,0.477778,-0.003997,0.053212,0.962985,40,80,0.0165,sparse_entropy:ge:1.080468 AND sparse_margin:ge:0.038975,90,19,0.966982,ok,0.166667,2048,90
