accuracy,budget,causal_k,excess_over_oracle,interaction_mode,loss,oracle_accuracy,oracle_loss,oracle_match_rate,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.466667,4,32,0.027789,pairwise,1.025025,0.511111,0.997236,0.377778,validation_safe_reranker,40,600,400,0.005,0,11,1.0,0.0,0.0,0.0,indexed,90,2048,0.975378,180,0.974949
0.466667,4,32,0.027789,pairwise,1.025025,0.511111,0.997236,0.377778,margin_safe_reranker,40,600,400,0.005,0,11,1.0,0.0,0.0,0.0,indexed,90,2048,0.975378,180,0.974949
0.511111,4,32,0.0,pairwise,0.997236,0.511111,0.997236,1.0,oracle_over_retrievers,40,600,400,0.005,,11,0.377778,0.266667,0.044444,0.311111,indexed,90,2048,0.975378,180,0.974949
0.5,4,32,0.028076,pairwise,0.990135,0.555556,0.962059,0.455556,static_indexed,40,600,400,0.005,,13,1.0,0.0,0.0,0.0,indexed,90,2048,0.975663,180,0.976044
0.477778,4,32,0.027414,pairwise,0.989473,0.555556,0.962059,0.4,static_proximity,40,600,400,0.005,,13,0.0,0.0,0.0,1.0,indexed,90,2048,0.975663,180,0.976044
0.477778,4,32,0.027116,pairwise,0.989175,0.555556,0.962059,0.144444,static_interaction,40,600,400,0.005,,13,0.0,1.0,0.0,0.0,indexed,90,2048,0.975663,180,0.976044
0.466667,4,32,0.027092,pairwise,0.989151,0.555556,0.962059,0.0,static_learned,40,600,400,0.005,,13,0.0,0.0,1.0,0.0,indexed,90,2048,0.975663,180,0.976044
0.5,4,32,0.028076,pairwise,0.990135,0.555556,0.962059,0.455556,static_validation_choice,40,600,400,0.005,,13,1.0,0.0,0.0,0.0,indexed,90,2048,0.975663,180,0.976044
0.511111,4,32,0.021286,pairwise,0.983344,0.555556,0.962059,0.566667,deployed_reranker,40,600,400,0.005,,13,0.655556,0.0,0.0,0.344444,indexed,90,2048,0.975663,180,0.976044
0.511111,4,32,0.021286,pairwise,0.983344,0.555556,0.962059,0.566667,validation_safe_reranker,40,600,400,0.005,1,13,0.655556,0.0,0.0,0.344444,indexed,90,2048,0.975663,180,0.976044
0.5,4,32,0.028076,pairwise,0.990135,0.555556,0.962059,0.455556,margin_safe_reranker,40,600,400,0.005,0,13,1.0,0.0,0.0,0.0,indexed,90,2048,0.975663,180,0.976044
0.555556,4,32,0.0,pairwise,0.962059,0.555556,0.962059,1.0,oracle_over_retrievers,40,600,400,0.005,,13,0.455556,0.144444,0.0,0.4,indexed,90,2048,0.975663,180,0.976044
0.544444,4,32,0.0235,pairwise,1.013619,0.544444,0.990119,0.322222,static_indexed,40,600,400,0.005,,17,1.0,0.0,0.0,0.0,proximity,90,2048,0.990349,180,0.991764
0.455556,4,32,0.016764,pairwise,1.006883,0.544444,0.990119,0.211111,static_proximity,40,600,400,0.005,,17,0.0,0.0,0.0,1.0,proximity,90,2048,0.990349,180,0.991764
0.455556,4,32,0.015659,pairwise,1.005778,0.544444,0.990119,0.411111,static_interaction,40,600,400,0.005,,17,0.0,1.0,0.0,0.0,proximity,90,2048,0.990349,180,0.991764
0.455556,4,32,0.015891,pairwise,1.00601,0.544444,0.990119,0.055556,static_learned,40,600,400,0.005,,17,0.0,0.0,1.0,0.0,proximity,90,2048,0.990349,180,0.991764
0.455556,4,32,0.016764,pairwise,1.006883,0.544444,0.990119,0.211111,static_validation_choice,40,600,400,0.005,,17,0.0,0.0,0.0,1.0,proximity,90,2048,0.990349,180,0.991764
0.444444,4,32,0.017197,pairwise,1.007316,0.544444,0.990119,0.366667,deployed_reranker,40,600,400,0.005,,17,0.0,0.755556,0.0,0.244444,proximity,90,2048,0.990349,180,0.991764
