accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_4_rate,selected_generated_5_rate,selected_generated_6_rate,selected_generated_7_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.5,0.904589,0.511111,4,16,0.04379,0.045609,1,0.544444,0.90277,0.488889,pairwise,0.948379,generated_set_reranker,40,600,400,0.005,,13,0.055556,,,,,,,,0.055556,0.511111,0.133333,0.022222,0.277778,proximity,proximity,90,2048,0.880635,180,0.927068
0.5,0.904589,0.511111,4,16,0.04379,0.045609,1,0.544444,0.90277,0.488889,pairwise,0.948379,generated_margin_safe_reranker,40,600,400,0.005,1,13,0.055556,,,,,,,,0.055556,0.511111,0.133333,0.022222,0.277778,proximity,proximity,90,2048,0.880635,180,0.927068
0.544444,0.904589,1.0,4,16,0.0,0.001819,1,0.544444,0.90277,0.855556,pairwise,0.904589,base_oracle,40,600,400,0.005,,13,0.0,,,,,,,,0.0,0.4,0.155556,0.033333,0.411111,proximity,proximity,90,2048,0.880635,180,0.927068
0.544444,0.904589,0.855556,4,16,-0.001819,0.0,1,0.544444,0.90277,1.0,pairwise,0.90277,generated_oracle,40,600,400,0.005,,13,0.144444,,,,,,,,0.144444,0.366667,0.111111,0.033333,0.344444,proximity,proximity,90,2048,0.880635,180,0.927068
0.466667,0.905333,0.355556,4,16,0.034451,0.035004,1,0.522222,0.90478,0.355556,pairwise,0.939784,static_indexed,40,600,400,0.005,,17,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,generated_0,learned,90,2048,0.917649,180,0.943245
0.511111,0.905333,0.377778,4,16,0.02595,0.026503,1,0.522222,0.90478,0.322222,pairwise,0.931283,static_proximity,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,generated_0,learned,90,2048,0.917649,180,0.943245
0.5,0.905333,0.244444,4,16,0.026418,0.026971,1,0.522222,0.90478,0.144444,pairwise,0.931751,static_interaction,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,generated_0,learned,90,2048,0.917649,180,0.943245
0.5,0.905333,0.022222,4,16,0.026644,0.027198,1,0.522222,0.90478,0.022222,pairwise,0.931978,static_learned,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,generated_0,learned,90,2048,0.917649,180,0.943245
0.5,0.905333,0.022222,4,16,0.026644,0.027198,1,0.522222,0.90478,0.022222,pairwise,0.931978,static_base_validation_choice,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,generated_0,learned,90,2048,0.917649,180,0.943245
0.488889,0.905333,0.0,4,16,0.027383,0.027937,1,0.522222,0.90478,0.155556,pairwise,0.932717,static_generated_validation_choice,40,600,400,0.005,,17,1.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,generated_0,learned,90,2048,0.917649,180,0.943245
0.5,0.905333,0.3,4,16,0.025111,0.025665,1,0.522222,0.90478,0.355556,pairwise,0.930445,generated_set_reranker,40,600,400,0.005,,17,0.2,,,,,,,,0.2,0.355556,0.166667,0.044444,0.233333,generated_0,learned,90,2048,0.917649,180,0.943245
0.5,0.905333,0.3,4,16,0.025111,0.025665,1,0.522222,0.90478,0.355556,pairwise,0.930445,generated_margin_safe_reranker,40,600,400,0.005,1,17,0.2,,,,,,,,0.2,0.355556,0.166667,0.044444,0.233333,generated_0,learned,90,2048,0.917649,180,0.943245
0.522222,0.905333,1.0,4,16,0.0,0.000553,1,0.522222,0.90478,0.844444,pairwise,0.905333,base_oracle,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.355556,0.244444,0.022222,0.377778,generated_0,learned,90,2048,0.917649,180,0.943245
0.522222,0.905333,0.844444,4,16,-0.000553,0.0,1,0.522222,0.90478,1.0,pairwise,0.90478,generated_oracle,40,600,400,0.005,,17,0.155556,,,,,,,,0.155556,0.355556,0.144444,0.022222,0.322222,generated_0,learned,90,2048,0.917649,180,0.943245
0.488889,0.9361,0.444444,4,16,0.043594,0.044538,1,0.6,0.935157,0.422222,pairwise,0.979695,static_indexed,40,600,400,0.005,,19,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,proximity,proximity,90,2048,0.846405,180,0.878886
0.5,0.9361,0.388889,4,16,0.034919,0.035862,1,0.6,0.935157,0.311111,pairwise,0.971019,static_proximity,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,proximity,proximity,90,2048,0.846405,180,0.878886
0.488889,0.9361,0.144444,4,16,0.036683,0.037626,1,0.6,0.935157,0.111111,pairwise,0.972783,static_interaction,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,proximity,proximity,90,2048,0.846405,180,0.878886
0.488889,0.9361,0.022222,4,16,0.036851,0.037794,1,0.6,0.935157,0.011111,pairwise,0.972951,static_learned,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,proximity,proximity,90,2048,0.846405,180,0.878886
0.5,0.9361,0.388889,4,16,0.034919,0.035862,1,0.6,0.935157,0.311111,pairwise,0.971019,static_base_validation_choice,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,proximity,proximity,90,2048,0.846405,180,0.878886
0.5,0.9361,0.388889,4,16,0.034919,0.035862,1,0.6,0.935157,0.311111,pairwise,0.971019,static_generated_validation_choice,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,proximity,proximity,90,2048,0.846405,180,0.878886
0.5,0.9361,0.433333,4,16,0.034132,0.035075,1,0.6,0.935157,0.444444,pairwise,0.970232,generated_set_reranker,40,600,400,0.005,,19,0.122222,,,,,,,,0.122222,0.433333,0.2,0.022222,0.222222,proximity,proximity,90,2048,0.846405,180,0.878886
0.5,0.9361,0.433333,4,16,0.034132,0.035075,1,0.6,0.935157,0.444444,pairwise,0.970232,generated_margin_safe_reranker,40,600,400,0.005,1,19,0.122222,,,,,,,,0.122222,0.433333,0.2,0.022222,0.222222,proximity,proximity,90,2048,0.846405,180,0.878886
0.588889,0.9361,1.0,4,16,0.0,0.000943,1,0.6,0.935157,0.855556,pairwise,0.9361,base_oracle,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.444444,0.144444,0.022222,0.388889,proximity,proximity,90,2048,0.846405,180,0.878886
0.6,0.9361,0.855556,4,16,-0.000943,0.0,1,0.6,0.935157,1.0,pairwise,0.935157,generated_oracle,40,600,400,0.005,,19,0.144444,,,,,,,,0.144444,0.422222,0.111111,0.011111,0.311111,proximity,proximity,90,2048,0.846405,180,0.878886
0.522222,0.886832,0.377778,4,16,0.082766,0.083207,1,0.666667,0.886391,0.366667,pairwise,0.969598,static_indexed,40,600,400,0.005,,23,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.813124,180,0.891254
0.488889,0.886832,0.388889,4,16,0.127912,0.128353,1,0.666667,0.886391,0.366667,pairwise,1.014745,static_proximity,40,600,400,0.005,,23,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,indexed,indexed,90,2048,0.813124,180,0.891254
0.511111,0.886832,0.188889,4,16,0.121759,0.1222,1,0.666667,0.886391,0.122222,pairwise,1.008591,static_interaction,40,600,400,0.005,,23,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,indexed,indexed,90,2048,0.813124,180,0.891254
0.511111,0.886832,0.044444,4,16,0.121504,0.121945,1,0.666667,0.886391,0.033333,pairwise,1.008336,static_learned,40,600,400,0.005,,23,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,indexed,indexed,90,2048,0.813124,180,0.891254
