mode,shift,total_n,escape_rate,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-adaptive-observation,noisy_anomaly,128,0.5,32.0,32.0,3.0,0.863281,0.13547,0.882124,0.617113,0.18047,32.0,1152.0
wpu-learned-observation,noisy_anomaly,128,0.5,31.75,32.0,3.0,0.902344,0.114331,0.898862,0.717188,0.159331,31.75,1143.0
dense-state-copy,noisy_anomaly,128,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,noisy_anomaly,128,0.75,24.0,24.0,0.0,0.457031,0.297724,0.772533,0.0,0.297724,24.0,864.0
wpu-fixed-observation,noisy_anomaly,128,0.75,32.0,32.0,8.0,0.859375,0.13204,0.885802,0.767188,0.25204,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,128,0.75,32.0,32.0,4.71875,0.8125,0.158093,0.865579,0.69189,0.228874,32.0,1152.0
wpu-learned-observation,noisy_anomaly,128,0.75,32.0,32.0,4.25,0.800781,0.159468,0.864097,0.633036,0.223218,32.0,1152.0
dense-state-copy,noisy_anomaly,128,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,noisy_anomaly,512,0.0,24.0,24.0,0.0,0.953125,0.075676,0.930282,0.0,0.075676,24.0,864.0
wpu-fixed-observation,noisy_anomaly,512,0.0,32.0,32.0,8.0,0.945312,0.09872,0.911439,0.0,0.21872,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,512,0.0,24.0,24.0,0.0,0.945312,0.080641,0.927088,0.0,0.080641,24.0,864.0
wpu-learned-observation,noisy_anomaly,512,0.0,32.0,32.0,5.84375,0.945312,0.096488,0.913009,0.0,0.184144,32.0,1152.0
dense-state-copy,noisy_anomaly,512,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
