accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,reject_margin,retriever_steps,risk_penalty,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
0.977778,0.566667,4,0.929363,16,600,0.02782,600,4,0.333333,19,pairwise,0.957183,0.0,0.266667,candidate_regret_gate,-0.0029,0.063082,40,0.08574,600,0.0,400,0.5,19,0.711111,0.133333,0.044444,0.888889,0.011111,0.044444,0.0,0.0,0.055556,0.0,0.0,0.022222,0.033333,90,2048,0.973611,0.89723,4,0.923252,0.398611,0.902088,180
0.4,0.522222,4,0.929363,16,600,0.037945,600,4,0.133333,19,pairwise,0.967308,0.0,0.122222,uncertainty_regret_gate,-0.0029,0.063082,40,0.08574,600,0.0,400,0.5,19,0.344444,0.033333,0.022222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,90,2048,0.973611,0.89723,4,0.923252,0.398611,0.902088,180
,0.611111,4,0.929363,16,600,0.0,600,4,,19,pairwise,0.929363,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,19,0.244444,0.011111,0.0,0.255556,0.077778,0.177778,0.088889,0.066667,0.411111,0.222222,0.0,0.0,0.111111,90,2048,0.973611,0.89723,4,0.923252,0.398611,0.902088,180
,0.511111,4,0.875138,16,600,0.133198,600,4,,23,pairwise,1.008336,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,1.0,0.904975,4,0.920348,0.5375,0.905003,180
1.0,0.588889,4,0.875138,16,600,0.084022,600,4,0.288889,23,pairwise,0.959159,0.0,0.311111,candidate_regret_gate,-0.007953,0.05458,40,0.109132,600,0.0,400,0.5,23,0.688889,0.044444,0.044444,0.777778,0.044444,0.066667,0.055556,0.0,0.166667,0.0,0.0,0.0,0.055556,90,2048,1.0,0.904975,4,0.920348,0.5375,0.905003,180
0.522222,0.555556,4,0.875138,16,600,0.113882,600,4,0.155556,23,pairwise,0.989019,0.0,0.133333,uncertainty_regret_gate,-0.007953,0.05458,40,0.109132,600,0.0,400,0.5,23,0.377778,0.044444,0.055556,0.477778,0.0,0.033333,0.0,0.0,0.033333,0.0,0.0,0.477778,0.011111,90,2048,1.0,0.904975,4,0.920348,0.5375,0.905003,180
,0.666667,4,0.875138,16,600,0.0,600,4,,23,pairwise,0.875138,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,23,0.222222,0.0,0.0,0.222222,0.022222,0.244444,0.088889,0.0,0.355556,0.255556,0.0,0.0,0.166667,90,2048,1.0,0.904975,4,0.920348,0.5375,0.905003,180
,0.466667,4,0.989982,32,600,0.034571,600,4,,11,pairwise,1.024553,0.0,0.011111,static_learned_interaction,,,40,,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.952778,0.97615,4,0.985029,0.066667,0.983451,180
0.922222,0.466667,4,0.989982,32,600,0.032833,600,4,0.388889,11,pairwise,1.022816,0.0,0.177778,candidate_regret_gate,0.000705,0.052666,40,0.093677,600,0.0,400,0.5,11,0.555556,0.077778,0.177778,0.811111,0.022222,0.033333,0.044444,0.0,0.1,0.0,0.0,0.077778,0.011111,90,2048,0.952778,0.97615,4,0.985029,0.066667,0.983451,180
0.066667,0.466667,4,0.989982,32,600,0.034786,600,4,0.044444,11,pairwise,1.024769,0.0,0.022222,uncertainty_regret_gate,0.000705,0.052666,40,0.093677,600,0.0,400,0.5,11,0.055556,0.011111,0.0,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933333,0.0,90,2048,0.952778,0.97615,4,0.985029,0.066667,0.983451,180
,0.522222,4,0.989982,32,600,0.0,600,4,,11,pairwise,0.989982,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,11,0.2,0.0,0.044444,0.244444,0.077778,0.277778,0.033333,0.055556,0.444444,0.166667,0.011111,0.011111,0.122222,90,2048,0.952778,0.97615,4,0.985029,0.066667,0.983451,180
,0.466667,4,0.957108,32,600,0.032043,600,4,,13,pairwise,0.989151,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,1.0,0.976436,4,0.984442,1.0,0.977709,180
1.0,0.511111,4,0.957108,32,600,0.030255,600,4,0.4,13,pairwise,0.987363,0.0,0.188889,candidate_regret_gate,-0.03605,0.053015,40,0.071428,600,0.0,400,0.5,13,0.5,0.088889,0.2,0.788889,0.044444,0.044444,0.044444,0.011111,0.144444,0.0,0.011111,0.0,0.055556,90,2048,1.0,0.976436,4,0.984442,1.0,0.977709,180
1.0,0.5,4,0.957108,32,600,0.028116,600,4,0.366667,13,pairwise,0.985224,0.0,0.177778,uncertainty_regret_gate,-0.03605,0.053015,40,0.071428,600,0.0,400,0.5,13,0.455556,0.088889,0.211111,0.755556,0.055556,0.044444,0.066667,0.011111,0.177778,0.0,0.011111,0.0,0.055556,90,2048,1.0,0.976436,4,0.984442,1.0,0.977709,180
