model,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,mean_selected_k,max_selected_k,mean_updated_k,work_proxy,bytes_proxy,accuracy_per_kwork
graph-transformer-proxy,512,4,0.95,0.0,0.0,0.00535,0.058643,4.0,4,4.0,265225.0,1048576.0,0.704721
wpu-hybrid,512,4,0.95,0.0,0.25,0.004056,0.05311,4.0,4,4.0,4.0,144.0,61643.380835
wpu-hybrid-context,512,4,0.95,0.0,0.25,0.004503,0.049513,4.0,4,4.0,5.0,208.0,44417.929391
wpu-region-guard,512,4,0.95,0.0,0.25,0.003539,0.048884,4.0,4,4.0,4.0,144.0,70651.381232
dense-graph,512,4,0.95,0.0,0.25,0.005484,0.059974,4.0,4,4.0,516.0,18432.0,353.41994
serialized-token,512,4,0.95,0.0,0.25,0.004576,0.04952,4.0,4,4.0,516.0,22528.0,423.543329
graph-transformer-proxy,512,4,0.95,0.0,0.25,0.005484,0.059974,4.0,4,4.0,266256.0,1048576.0,0.684922
wpu-hybrid,512,4,0.95,0.5,0.0,0.14862,0.256437,4.0,4,2.5625,2.5625,92.25,2625.786937
wpu-hybrid-context,512,4,0.95,0.5,0.0,0.149673,0.25873,4.0,4,2.5625,3.5625,133.25,1875.427358
wpu-region-guard,512,4,0.95,0.5,0.0,0.004078,0.051578,4.0,4,4.0,4.0,144.0,61302.419652
dense-graph,512,4,0.95,0.5,0.0,0.006434,0.063014,4.0,4,4.0,513.5625,18432.0,302.661288
serialized-token,512,4,0.95,0.5,0.0,0.005714,0.055496,4.0,4,4.0,513.5625,22528.0,340.794483
graph-transformer-proxy,512,4,0.95,0.5,0.0,0.006434,0.063014,4.0,4,4.0,263747.15625,1048576.0,0.589335
wpu-hybrid,512,4,0.95,0.5,0.25,0.004586,0.054784,4.0,4,4.0,4.0,144.0,54509.259907
wpu-hybrid-context,512,4,0.95,0.5,0.25,0.004825,0.051695,4.0,4,4.0,5.0,208.0,41452.405777
wpu-region-guard,512,4,0.95,0.5,0.25,0.00393,0.049851,4.0,4,4.0,4.0,144.0,63607.184655
dense-graph,512,4,0.95,0.5,0.25,0.006222,0.061095,4.0,4,4.0,514.671875,18432.0,312.285231
serialized-token,512,4,0.95,0.5,0.25,0.005559,0.054033,4.0,4,4.0,514.671875,22528.0,349.544942
graph-transformer-proxy,512,4,0.95,0.5,0.25,0.006222,0.061095,4.0,4,4.0,264887.921875,1048576.0,0.606764
wpu-hybrid,512,4,0.2,0.0,0.0,0.004756,0.053239,4.0,4,4.0,4.0,144.0,52566.068697
wpu-hybrid-context,512,4,0.2,0.0,0.0,0.005244,0.054716,4.0,4,4.0,5.0,208.0,38140.873825
wpu-region-guard,512,4,0.2,0.0,0.0,0.004091,0.050304,4.0,4,4.0,4.0,144.0,61109.669946
dense-graph,512,4,0.2,0.0,0.0,0.006419,0.059959,4.0,4,4.0,515.0,18432.0,302.483157
